"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SANDHAR","Sandhar Technologies Limited","EQ"," Interim Dividend - Rs  1.25 Per Share","10","24-Feb-2021","25-Feb-2021","-","-"
"TECHNOE","Techno Electric & Engineering Company Limited","EQ"," Interim Dividend - Rs 3 Per Share","2","24-Feb-2021","25-Feb-2021","-","-"
"587GS2022","GOVERNMENT OF INDIA","GS"," Interest Payment","100","25-Feb-2021","26-Feb-2021","-","-"
"GUJAPOLLO","Gujarat Apollo Industries Limited","EQ"," Buyback","10","25-Feb-2021","26-Feb-2021","-","-"
"ARE&M","Amara Raja Energy & Mobility Limited","EQ"," Interim Dividend - Rs 5 Per Share","1","25-Feb-2021","26-Feb-2021","-","-"
"CAREERP","Career Point Limited","EQ"," Interim Dividend - Re 1 Per Share","10","25-Feb-2021","26-Feb-2021","-","-"
"795GS2032","GOVERNMENT OF INDIA","GS"," Interest Payment","100","25-Feb-2021","26-Feb-2021","-","-"
"SMARTLINK","Smartlink Holdings Limited","EQ"," Buy Back","2","26-Feb-2021","01-Mar-2021","-","-"
"KMSUGAR","K.M.Sugar Mills Limited","EQ"," Extra Ordinary General Meeting","2","02-Mar-2021","-","04-Mar-2021","10-Mar-2021"
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","10","02-Mar-2021","03-Mar-2021","-","-"
"697GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","03-Mar-2021","04-Mar-2021","-","-"
"BHARATRAS","Bharat Rasayan Limited","EQ"," Buy Back","10","04-Mar-2021","05-Mar-2021","-","-"
"IDFCFIRSTB","IDFC First Bank Limited","HB"," Interest Payment","5000","04-Mar-2021","05-Mar-2021","-","-"
"SOTL","Savita Oil Technologies Limited","EQ"," Buy Back","2","04-Mar-2021","05-Mar-2021","-","-"
"74GS2035","GOVERNMENT OF INDIA","GS"," Interest Payment","100","04-Mar-2021","06-Mar-2021","-","-"
"HAL","Hindustan Aeronautics Limited","EQ"," Interim Dividend - Rs 15 Per Share","5","05-Mar-2021","08-Mar-2021","-","-"
"POWERGRID","Power Grid Corporation of India Limited","EQ"," Interim Dividend - Rs 4 Per Share","10","08-Mar-2021","09-Mar-2021","-","-"
"1018GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","08-Mar-2021","09-Mar-2021","-","-"
"STEELCITY","Steel City Securities Limited","EQ"," Interim Dividend - Re 1 Per Share","10","08-Mar-2021","09-Mar-2021","-","-"
"THANGAMAYL","Thangamayil Jewellery Limited","EQ"," Interim Dividend - Rs 6 Per Share","10","09-Mar-2021","10-Mar-2021","-","-"
"KEI","KEI Industries Limited","EQ"," Interim Dividend - Rs 2 Per Share","2","09-Mar-2021","10-Mar-2021","-","-"
"TECHNOFAB","Technofab Engineering Limited","EQ"," Annual General Meeting","10","09-Mar-2021","-","12-Mar-2021","18-Mar-2021"
